CONSIGNEE_NAME,SHIPPER_NAME,TARIFF_CODE,GROSS_WEIGHT_KG,ITEM_VALUE_USD,PORT_OF_LOADING,ARRIVAL_DATE
NIKE USA LTD,Vietnam Manuf Group,8703.80,14962.65,1699881.37,Shanghai,2025-08-24
Tesla Motors ,Foxconn Technology,3923.10,9886.54,536406.05,Rotterdam,2026-02-06
APPLE OPERATIONS INTL CORP,BYD Auto,8703.80,22990.7,796745.43,Shenzhen,2025-07-17
Apple Inc. ,Vietnam Manuf Group,8703.80,2709.53,895339.09,Shenzhen,2025-08-28
Nike Inc. CORP,Shenzhen Plastics Co,6404.11,46340.31,365927.16,Long Beach,2025-06-06
Samsung Electronics ,TSMC,8542.31,4155.11,1167645.68,Ho Chi Minh,2025-08-29
Apple Inc. CORP,Pou Chen Corp,6404.11,16491.42,966843.52,Shenzhen,2025-09-25
Samsung Electronics LTD,LG Chem,3923.10,19463.01,1518605.34,Ho Chi Minh,2025-11-24
Nike Inc. INC,Vietnam Manuf Group,6404.11,16936.64,1606979.48,Long Beach,2025-05-11
Tesla Motors INC,Shenzhen Plastics Co,3923.10,17114.22,1006180.78,Rotterdam,2025-12-17
YETI CUSTOM DOMESTIC CORP,Foxconn Technology,6404.11,8790.15,1728414.94,Ho Chi Minh,2025-10-21
Yeti Coolers LLC INC,LG Chem,8703.80,11043.92,1012411.04,Shenzhen,2025-09-05
YETI CUSTOM DOMESTIC CORP,Shenzhen Plastics Co,6404.11,2835.94,1789483.0,Shenzhen,2025-12-15
Nike Inc. ,Shenzhen Plastics Co,6404.11,34302.1,441053.45,Rotterdam,2026-02-21
YETI CUSTOM DOMESTIC ,Vietnam Manuf Group,8703.80,11566.11,840429.14,Shanghai,2025-07-01
Yeti Coolers LLC ,Vietnam Manuf Group,3923.10,5016.14,909910.06,Long Beach,2026-02-15
Apple Inc. ,LG Chem,6404.11,8299.18,1718697.22,Rotterdam,2025-05-09
Nike Inc. INC,BYD Auto,6404.11,12996.87,329484.12,Los Angeles,2025-06-04
YETI CUSTOM DOMESTIC ,LG Chem,6404.11,17455.45,1477696.57,Shanghai,2025-06-05
YETI CUSTOM DOMESTIC INC,Foxconn Technology,8517.12,44345.93,225466.85,Shenzhen,2025-12-14
Samsung Electronics ,Foxconn Technology,8703.80,19137.19,304910.96,Shenzhen,2025-04-21
Nike Inc. INC,LG Chem,3923.10,9197.76,1817506.78,Shanghai,2025-05-12
Samsung Electronics INC,TSMC,8703.80,38203.94,1626960.48,Shanghai,2025-12-22
Samsung Electronics INC,BYD Auto,3923.10,8506.42,484731.36,Los Angeles,2025-05-11
Samsung Electronics LTD,TSMC,6404.11,40539.46,193806.33,Rotterdam,2026-02-21
Nike Inc. LTD,Foxconn Technology,3923.10,12716.22,271616.71,Shenzhen,2025-09-10
Nike Inc. INC,Shenzhen Plastics Co,8517.12,2307.17,1754935.26,Rotterdam,2026-02-17
Samsung Electronics ,Foxconn Technology,3923.10,39427.53,1041817.94,Shanghai,2025-08-17
Apple Inc. LTD,TSMC,3923.10,42681.1,1612907.97,Long Beach,2025-04-20
Nike Inc. CORP,TSMC,3923.10,17691.01,1947354.99,Long Beach,2025-10-18
Yeti Coolers LLC INC,LG Chem,8517.12,40996.83,1460723.26,Long Beach,2026-01-05
APPLE OPERATIONS INTL CORP,Shenzhen Plastics Co,8542.31,29733.1,169739.88,Rotterdam,2025-04-19
Tesla Motors CORP,Vietnam Manuf Group,6404.11,16259.95,1981048.61,Ho Chi Minh,2026-02-01
YETI CUSTOM DOMESTIC LTD,Shenzhen Plastics Co,6404.11,39345.05,81613.81,Ho Chi Minh,2025-04-18
Yeti Coolers LLC LTD,Pou Chen Corp,8517.12,42121.17,77805.17,Shenzhen,2026-01-02
APPLE OPERATIONS INTL ,BYD Auto,6404.11,9382.45,1260610.27,Shanghai,2025-08-03
Yeti Coolers LLC ,Pou Chen Corp,8703.80,2108.84,141469.68,Ho Chi Minh,2025-11-13
APPLE OPERATIONS INTL CORP,LG Chem,3923.10,3169.02,473160.23,Long Beach,2025-10-19
Yeti Coolers LLC ,LG Chem,8517.12,49310.08,1354373.5,Rotterdam,2026-01-30
Samsung Electronics INC,Pou Chen Corp,6404.11,42069.63,931338.95,Long Beach,2025-09-01
Tesla Motors CORP,Foxconn Technology,8703.80,22624.13,873773.24,Shanghai,2025-04-29
Yeti Coolers LLC LTD,Vietnam Manuf Group,8703.80,43726.49,339742.77,Shenzhen,2026-03-13
NIKE USA INC,Foxconn Technology,8542.31,4095.04,420039.18,Shanghai,2025-07-07
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,8703.80,39025.57,361667.38,Shenzhen,2025-06-19
Samsung Electronics ,Vietnam Manuf Group,8703.80,33010.14,139695.2,Rotterdam,2025-08-27
Samsung Electronics CORP,Foxconn Technology,6404.11,31592.19,552367.61,Long Beach,2026-03-09
APPLE OPERATIONS INTL ,Vietnam Manuf Group,8703.80,26667.37,894142.98,Los Angeles,2025-04-25
Tesla Motors ,Vietnam Manuf Group,8542.31,18339.85,1277085.29,Shanghai,2025-06-11
Apple Inc. CORP,LG Chem,6404.11,18319.17,767427.53,Shenzhen,2025-05-06
YETI CUSTOM DOMESTIC CORP,Pou Chen Corp,8703.80,27064.27,610263.53,Shenzhen,2025-04-26
Nike Inc. ,Vietnam Manuf Group,8542.31,23119.57,533067.55,Shenzhen,2025-05-17
Nike Inc. INC,Vietnam Manuf Group,8517.12,30845.95,1082481.02,Ho Chi Minh,2025-08-02
NIKE USA INC,Shenzhen Plastics Co,8517.12,49912.33,1080132.41,Shanghai,2025-10-19
Tesla Motors INC,Foxconn Technology,8542.31,25587.56,448819.29,Ho Chi Minh,2026-02-26
Tesla Motors LTD,Foxconn Technology,8703.80,38544.44,1128590.63,Rotterdam,2025-04-04
Samsung Electronics ,Foxconn Technology,8703.80,13795.36,1609502.06,Shenzhen,2025-04-26
Apple Inc. LTD,Vietnam Manuf Group,6404.11,17054.48,789160.06,Long Beach,2025-06-15
Apple Inc. ,LG Chem,8517.12,17189.75,1192143.98,Ho Chi Minh,2025-07-17
Nike Inc. INC,BYD Auto,8542.31,8210.4,616952.22,Los Angeles,2025-12-09
Nike Inc. LTD,LG Chem,8542.31,22928.05,1978601.82,Long Beach,2025-10-18
YETI CUSTOM DOMESTIC INC,TSMC,8703.80,37715.18,1318737.85,Los Angeles,2026-01-22
NIKE USA LTD,Pou Chen Corp,8542.31,6253.28,583843.47,Shanghai,2025-06-16
YETI CUSTOM DOMESTIC INC,Vietnam Manuf Group,8542.31,48085.48,1875699.82,Shanghai,2026-02-09
Nike Inc. INC,Foxconn Technology,3923.10,8333.75,1036171.72,Los Angeles,2025-10-19
Samsung Electronics ,LG Chem,8542.31,34089.31,1494929.77,Los Angeles,2026-03-03
Samsung Electronics LTD,Foxconn Technology,3923.10,14368.55,814021.84,Los Angeles,2025-07-12
Apple Inc. LTD,Foxconn Technology,8703.80,27181.13,1144960.62,Rotterdam,2025-11-14
Yeti Coolers LLC CORP,BYD Auto,8517.12,33700.04,613015.09,Los Angeles,2025-06-05
Apple Inc. ,TSMC,6404.11,40295.69,674186.74,Long Beach,2025-04-13
NIKE USA CORP,Foxconn Technology,6404.11,17591.97,483708.5,Shanghai,2026-01-28
Yeti Coolers LLC LTD,LG Chem,8517.12,6540.85,265466.26,Los Angeles,2025-07-16
Yeti Coolers LLC INC,BYD Auto,6404.11,35225.42,1083650.82,Los Angeles,2025-05-11
APPLE OPERATIONS INTL ,LG Chem,3923.10,33567.52,822167.11,Ho Chi Minh,2025-03-28
Nike Inc. ,Shenzhen Plastics Co,8542.31,34716.91,1735318.33,Los Angeles,2025-04-06
Nike Inc. LTD,Shenzhen Plastics Co,8517.12,40934.2,373393.15,Los Angeles,2025-05-26
NIKE USA LTD,Vietnam Manuf Group,8542.31,29583.77,221904.09,Ho Chi Minh,2025-06-25
Tesla Motors LTD,TSMC,8542.31,37414.0,1507728.79,Los Angeles,2026-02-27
Yeti Coolers LLC ,TSMC,8542.31,49704.77,71485.83,Long Beach,2025-06-07
Yeti Coolers LLC INC,Foxconn Technology,6404.11,28299.13,55674.14,Shanghai,2026-02-18
Tesla Motors LTD,BYD Auto,6404.11,13468.44,335619.0,Los Angeles,2025-10-09
YETI CUSTOM DOMESTIC CORP,Vietnam Manuf Group,8542.31,20433.37,494882.75,Los Angeles,2026-03-08
Apple Inc. ,Shenzhen Plastics Co,3923.10,10156.34,1820143.94,Shenzhen,2025-06-14
Tesla Motors INC,Pou Chen Corp,3923.10,37003.66,1937620.05,Shanghai,2025-11-15
Nike Inc. LTD,Pou Chen Corp,8703.80,35950.69,175336.55,Shanghai,2025-08-08
APPLE OPERATIONS INTL CORP,Pou Chen Corp,8517.12,31745.7,1447520.22,Los Angeles,2025-07-03
Apple Inc. INC,BYD Auto,8542.31,23139.28,1422189.09,Long Beach,2026-02-22
Nike Inc. CORP,Shenzhen Plastics Co,8517.12,13324.87,1622504.82,Long Beach,2025-04-02
Samsung Electronics LTD,TSMC,6404.11,21323.32,1148616.23,Rotterdam,2025-09-20
Apple Inc. CORP,TSMC,8517.12,41003.36,34703.48,Shenzhen,2025-05-14
Samsung Electronics LTD,TSMC,8542.31,47257.24,1091305.72,Shanghai,2025-04-25
Nike Inc. CORP,Vietnam Manuf Group,8517.12,30882.99,1246687.89,Ho Chi Minh,2026-03-10
Tesla Motors LTD,Pou Chen Corp,8542.31,40255.24,1327083.61,Shanghai,2025-03-25
APPLE OPERATIONS INTL ,LG Chem,8703.80,4421.08,1428301.07,Rotterdam,2025-08-15
Samsung Electronics INC,LG Chem,3923.10,1045.01,1624646.82,Ho Chi Minh,2025-04-16
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,8703.80,13966.24,815610.19,Los Angeles,2025-08-23
YETI CUSTOM DOMESTIC CORP,TSMC,8542.31,6901.31,1252411.36,Ho Chi Minh,2025-04-05
Nike Inc. ,TSMC,3923.10,41948.05,1250841.55,Shenzhen,2025-10-04
Yeti Coolers LLC INC,LG Chem,8542.31,36364.64,984897.28,Shanghai,2025-09-14
NIKE USA ,Foxconn Technology,6404.11,8480.17,812682.61,Ho Chi Minh,2025-10-17
Samsung Electronics CORP,LG Chem,8703.80,34889.76,1408284.05,Shanghai,2025-08-04
APPLE OPERATIONS INTL ,Vietnam Manuf Group,8542.31,27310.23,1165302.48,Shenzhen,2026-01-21
Nike Inc. INC,BYD Auto,8542.31,20169.11,995684.02,Rotterdam,2025-06-30
Yeti Coolers LLC ,Foxconn Technology,8517.12,22433.38,1255052.35,Ho Chi Minh,2025-10-25
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,8542.31,9243.56,1832318.16,Ho Chi Minh,2025-09-27
APPLE OPERATIONS INTL ,Foxconn Technology,8542.31,13685.93,1574331.37,Shenzhen,2025-10-11
Yeti Coolers LLC CORP,TSMC,8703.80,11222.39,561165.65,Rotterdam,2026-02-28
Apple Inc. LTD,Vietnam Manuf Group,8542.31,19302.34,742393.19,Shanghai,2025-10-24
Yeti Coolers LLC CORP,LG Chem,8703.80,37802.48,155517.33,Ho Chi Minh,2025-08-24
Samsung Electronics LTD,TSMC,3923.10,38378.15,775698.05,Rotterdam,2025-07-31
APPLE OPERATIONS INTL CORP,Shenzhen Plastics Co,8517.12,3659.82,1720775.09,Shenzhen,2025-03-31
Yeti Coolers LLC CORP,Shenzhen Plastics Co,8703.80,21521.12,176146.01,Shenzhen,2025-09-14
Tesla Motors INC,Vietnam Manuf Group,8542.31,28429.8,1794336.83,Los Angeles,2026-03-12
Yeti Coolers LLC ,TSMC,8542.31,15319.71,1425552.44,Shanghai,2025-12-31
Apple Inc. INC,Foxconn Technology,6404.11,30734.93,802235.48,Shanghai,2025-07-05
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,3923.10,39482.93,1268957.96,Shenzhen,2025-05-16
APPLE OPERATIONS INTL CORP,Foxconn Technology,6404.11,23735.85,1802037.48,Long Beach,2025-09-25
Tesla Motors LTD,Pou Chen Corp,6404.11,39539.57,595387.06,Ho Chi Minh,2025-04-07
YETI CUSTOM DOMESTIC LTD,BYD Auto,8542.31,42782.5,1472142.38,Rotterdam,2025-07-07
Yeti Coolers LLC ,TSMC,3923.10,16613.16,436604.76,Rotterdam,2025-09-06
Samsung Electronics INC,Shenzhen Plastics Co,3923.10,1619.34,1301143.15,Shanghai,2025-03-17
APPLE OPERATIONS INTL ,Shenzhen Plastics Co,8517.12,8282.09,1524748.66,Rotterdam,2025-10-15
NIKE USA INC,Pou Chen Corp,8517.12,45701.24,1672218.72,Los Angeles,2025-06-05
Samsung Electronics CORP,TSMC,8703.80,34049.43,1773440.49,Rotterdam,2025-11-12
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,8703.80,49109.96,1516507.14,Long Beach,2025-11-18
YETI CUSTOM DOMESTIC CORP,BYD Auto,3923.10,2063.65,1242873.31,Shenzhen,2025-11-22
Samsung Electronics ,Shenzhen Plastics Co,6404.11,11638.02,1506113.25,Rotterdam,2025-04-12
Nike Inc. ,LG Chem,6404.11,34570.51,700745.82,Ho Chi Minh,2025-06-08
APPLE OPERATIONS INTL INC,BYD Auto,6404.11,44171.18,1555099.2,Shanghai,2025-06-22
Yeti Coolers LLC LTD,BYD Auto,6404.11,25998.77,530314.48,Rotterdam,2025-10-29
Yeti Coolers LLC ,Vietnam Manuf Group,8703.80,6995.3,342277.17,Ho Chi Minh,2025-06-19
YETI CUSTOM DOMESTIC ,Vietnam Manuf Group,8517.12,19854.33,1875837.94,Shenzhen,2025-11-13
YETI CUSTOM DOMESTIC CORP,Vietnam Manuf Group,8703.80,30220.54,102126.15,Shanghai,2025-04-30
Tesla Motors INC,LG Chem,8542.31,12701.86,787432.87,Long Beach,2026-01-02
NIKE USA INC,BYD Auto,3923.10,42331.41,1820053.43,Shanghai,2025-07-18
Samsung Electronics ,Foxconn Technology,8703.80,17263.08,1860386.4,Shenzhen,2025-03-24
YETI CUSTOM DOMESTIC LTD,Pou Chen Corp,3923.10,3872.58,1189887.08,Shanghai,2025-08-17
Samsung Electronics CORP,BYD Auto,3923.10,35376.68,703981.6,Shanghai,2025-09-27
Tesla Motors CORP,BYD Auto,3923.10,36899.37,1689562.45,Los Angeles,2025-06-23
Apple Inc. LTD,TSMC,8703.80,6378.21,732973.95,Ho Chi Minh,2025-09-11
Tesla Motors INC,LG Chem,6404.11,12284.77,65880.83,Los Angeles,2025-06-09
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,8517.12,15482.65,350068.52,Los Angeles,2025-04-26
Apple Inc. INC,LG Chem,8517.12,22540.58,101164.29,Shenzhen,2025-07-06
NIKE USA ,Foxconn Technology,8542.31,21195.73,941356.48,Long Beach,2025-10-03
Samsung Electronics ,BYD Auto,8517.12,9075.53,20897.35,Shanghai,2026-02-17
Tesla Motors INC,BYD Auto,8703.80,4884.65,1294298.78,Shenzhen,2025-07-27
Tesla Motors CORP,TSMC,6404.11,8223.29,273619.3,Ho Chi Minh,2025-04-11
Samsung Electronics ,TSMC,8703.80,2424.66,1057578.82,Rotterdam,2025-05-16
YETI CUSTOM DOMESTIC ,TSMC,8542.31,36115.98,1087129.48,Rotterdam,2025-09-03
NIKE USA ,LG Chem,8517.12,46609.42,1656512.13,Rotterdam,2025-11-03
Nike Inc. INC,TSMC,3923.10,49819.01,710001.91,Ho Chi Minh,2025-04-08
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,3923.10,9974.2,1427469.92,Ho Chi Minh,2026-02-06
Nike Inc. CORP,BYD Auto,8542.31,43757.76,309479.05,Los Angeles,2025-08-09
APPLE OPERATIONS INTL ,TSMC,6404.11,36335.91,1439205.22,Long Beach,2025-08-12
YETI CUSTOM DOMESTIC CORP,Foxconn Technology,6404.11,15013.9,54568.91,Shanghai,2025-04-24
Tesla Motors INC,LG Chem,3923.10,16345.53,304850.25,Long Beach,2025-04-13
Nike Inc. CORP,Pou Chen Corp,8542.31,21072.45,1122011.83,Long Beach,2025-04-03
Tesla Motors CORP,Vietnam Manuf Group,8542.31,3753.9,659657.74,Shanghai,2025-11-16
Samsung Electronics LTD,Pou Chen Corp,6404.11,45927.62,158116.21,Los Angeles,2025-08-03
Apple Inc. LTD,BYD Auto,8542.31,38585.58,535022.64,Shenzhen,2025-09-30
Samsung Electronics CORP,TSMC,8517.12,28784.06,947137.5,Shenzhen,2025-07-29
Nike Inc. INC,Shenzhen Plastics Co,8542.31,2226.25,1979154.03,Shanghai,2025-06-04
Apple Inc. LTD,TSMC,8542.31,40154.58,987502.43,Rotterdam,2025-08-16
NIKE USA CORP,Vietnam Manuf Group,8703.80,6944.64,1343013.89,Ho Chi Minh,2025-10-03
NIKE USA LTD,Pou Chen Corp,8703.80,27427.37,1455936.01,Ho Chi Minh,2025-11-25
Tesla Motors INC,Foxconn Technology,3923.10,23191.17,970302.1,Rotterdam,2025-04-28
APPLE OPERATIONS INTL INC,LG Chem,8517.12,18404.78,1117319.64,Los Angeles,2025-05-08
Nike Inc. CORP,TSMC,6404.11,21120.97,1627925.57,Shanghai,2025-11-07
Apple Inc. CORP,Shenzhen Plastics Co,8517.12,33698.93,992770.02,Shenzhen,2025-08-12
Samsung Electronics CORP,TSMC,8542.31,36014.72,413780.23,Shenzhen,2025-07-28
NIKE USA CORP,Shenzhen Plastics Co,3923.10,9235.69,287828.26,Ho Chi Minh,2025-12-25
YETI CUSTOM DOMESTIC INC,Foxconn Technology,3923.10,47622.26,1791939.31,Los Angeles,2025-08-26
APPLE OPERATIONS INTL LTD,BYD Auto,8517.12,39963.62,949403.28,Shanghai,2025-07-30
Samsung Electronics CORP,Pou Chen Corp,3923.10,43236.19,309977.28,Shenzhen,2026-01-03
YETI CUSTOM DOMESTIC INC,LG Chem,3923.10,39095.49,499795.83,Shanghai,2025-11-09
NIKE USA INC,BYD Auto,8542.31,44256.31,897050.65,Ho Chi Minh,2025-10-04
Samsung Electronics CORP,Vietnam Manuf Group,6404.11,46906.05,1184992.35,Los Angeles,2025-03-21
Apple Inc. INC,LG Chem,8517.12,29839.18,1345083.64,Los Angeles,2025-11-22
Tesla Motors LTD,BYD Auto,8517.12,9728.92,1579696.05,Shenzhen,2026-02-26
Nike Inc. INC,Foxconn Technology,6404.11,15260.85,563582.5,Ho Chi Minh,2025-05-03
Apple Inc. INC,BYD Auto,8542.31,24832.7,347237.95,Rotterdam,2025-06-06
Samsung Electronics INC,Foxconn Technology,8542.31,37265.0,881579.44,Shanghai,2025-07-26
YETI CUSTOM DOMESTIC LTD,Foxconn Technology,8542.31,20566.66,1380412.19,Shanghai,2026-01-13
Yeti Coolers LLC LTD,Vietnam Manuf Group,8703.80,27911.57,1614150.27,Shenzhen,2025-10-12
Apple Inc. INC,TSMC,8542.31,44627.64,110179.59,Long Beach,2025-12-10
Samsung Electronics CORP,Foxconn Technology,8542.31,45132.03,1429994.7,Shanghai,2025-11-04
APPLE OPERATIONS INTL INC,BYD Auto,8703.80,42268.22,802507.6,Long Beach,2025-09-03
YETI CUSTOM DOMESTIC CORP,LG Chem,8517.12,10929.04,955694.0,Shenzhen,2025-04-02
Tesla Motors ,BYD Auto,8703.80,6389.25,25810.32,Ho Chi Minh,2025-05-10
APPLE OPERATIONS INTL INC,Foxconn Technology,8517.12,27350.63,18895.07,Shanghai,2025-05-08
Tesla Motors ,Vietnam Manuf Group,8703.80,18641.45,572816.44,Shanghai,2026-02-14
Apple Inc. INC,Pou Chen Corp,8703.80,27100.57,69031.42,Long Beach,2025-04-09
Tesla Motors INC,Pou Chen Corp,6404.11,19432.56,638132.25,Long Beach,2025-07-22
Yeti Coolers LLC CORP,LG Chem,8542.31,30485.5,1056941.7,Shenzhen,2025-09-02
Apple Inc. LTD,BYD Auto,6404.11,10666.57,509765.55,Shanghai,2025-09-27
YETI CUSTOM DOMESTIC CORP,Shenzhen Plastics Co,6404.11,29463.43,295576.69,Shenzhen,2025-07-11
Yeti Coolers LLC INC,Foxconn Technology,8703.80,49647.14,1866993.11,Shanghai,2025-11-02
Yeti Coolers LLC INC,Foxconn Technology,3923.10,3322.26,681215.53,Rotterdam,2026-03-04
Apple Inc. CORP,BYD Auto,3923.10,3924.59,1528942.12,Long Beach,2025-08-10
YETI CUSTOM DOMESTIC ,Vietnam Manuf Group,8703.80,4951.3,701590.5,Shenzhen,2025-09-04
Yeti Coolers LLC CORP,Shenzhen Plastics Co,3923.10,10667.98,1522649.24,Rotterdam,2025-06-07
Yeti Coolers LLC CORP,Shenzhen Plastics Co,8542.31,30205.76,1957246.01,Los Angeles,2025-06-15
YETI CUSTOM DOMESTIC CORP,BYD Auto,8703.80,27940.92,1905774.78,Long Beach,2025-10-22
Nike Inc. INC,Foxconn Technology,8542.31,40071.49,856232.82,Shenzhen,2026-02-05
APPLE OPERATIONS INTL LTD,TSMC,8703.80,11792.89,919520.51,Rotterdam,2025-10-28
APPLE OPERATIONS INTL INC,LG Chem,8703.80,20514.56,497677.39,Ho Chi Minh,2025-11-16
Tesla Motors ,BYD Auto,8703.80,48725.29,325524.23,Los Angeles,2026-02-17
Yeti Coolers LLC INC,Shenzhen Plastics Co,8703.80,42289.2,1366345.94,Ho Chi Minh,2025-08-31
Nike Inc. LTD,Pou Chen Corp,3923.10,4563.77,160329.74,Shenzhen,2026-01-10
Apple Inc. CORP,Foxconn Technology,6404.11,22364.82,409030.41,Rotterdam,2025-09-22
NIKE USA ,LG Chem,6404.11,16879.36,10506.92,Rotterdam,2025-05-16
Samsung Electronics CORP,Foxconn Technology,8517.12,36726.74,293902.54,Shanghai,2025-11-23
Tesla Motors INC,BYD Auto,8703.80,8921.15,1295651.85,Long Beach,2025-09-10
NIKE USA INC,Shenzhen Plastics Co,3923.10,43930.63,911688.35,Shenzhen,2025-04-08
